passage_between_rooms_A...Z,X,Y
16-15,965,196
13-14,945,317
17-16-13,870,204
14-15,972,430
14-15,1098,317
14-15,972,204
L-12,580,175
12-S,584,110
12-19,584,110
10-9,740,293
11-10,709,232
12-11,663,189
8-13,903,345
O-P-N,193,197
V-19,612,51
L-19,584,110
O-N,60,317
N-M,214,316
M-H,255,352
H-D,229,430
C-D,225,535
C-B,297,544
D-B-E,353,532
D-G-E,352,430
G-H,297,422
B-A,408,544
G-F,409,422
G-I-F,408,354
I-J,420,292
J-K,448,234
K-L,497,188
F-ii,509,391
E-ii,508,484
A-ii,508,575
i-ii,580,589
ii-1,653,574
ii-5,653,481
ii-6,651,392
1-2,751,543
5-2-4,808,534
2-3,862,545
3-4,931,536
4-8,930,429
5-7-4,807,430
6-9-7,751,359
4-5,808,432
S-V,550,50
R-S-Q-P,299,99
P-Q-M,293,197
L-S,584,110
19-18-16-17,863,100
7-8,863,422
7-6,752,423
